"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1652","test_api_key_authentication","tests","Sat Jul 18 19:50:47 GMT+06:00 2026","passed","Sat Jul 18 19:50:49 GMT+06:00 2026","","test_auth","",""
"","987","test_patch_user","tests","Sat Jul 18 19:50:51 GMT+06:00 2026","passed","Sat Jul 18 19:50:52 GMT+06:00 2026","","test_users","",""
"","1563","test_create_user","tests","Sat Jul 18 19:50:49 GMT+06:00 2026","passed","Sat Jul 18 19:50:50 GMT+06:00 2026","","test_users","",""
"","1181","test_delete_user","tests","Sat Jul 18 19:50:52 GMT+06:00 2026","passed","Sat Jul 18 19:50:54 GMT+06:00 2026","","test_users","",""
"","1296","test_update_user","tests","Sat Jul 18 19:50:50 GMT+06:00 2026","passed","Sat Jul 18 19:50:51 GMT+06:00 2026","","test_users","",""
